ID,Revision,Text,Location,Context,Actor,Voice Actor,Old Revision,Old Text,Old Translation,NewTranslation,Status,Warnings,Xbox Terminology/Whitespace/Status Warnings
-198,178241,Gamer Zone,Lua/AchievementsData.lua(00793),xlast_text_32519,,,178241,,,玩家区域,OK,,
-197,178241,Rank,Lua/AchievementsData.lua(00792),xlast_text_32518,,,178241,,,等级,OK,,
-196,178241,El Ojo de Dios,Lua/AchievementsData.lua(00815),xlast_text_349,,,178241,,,上帝之眼,OK,,
-195,178241,Map name,Lua/AchievementsData.lua(00780),xlast_text_160,,,178241,,,地图名称,OK,,
-194,178241,Platform Type,Lua/AchievementsData.lua(00802),xlast_text_32528,,,178241,,,平台类型,OK,,
-193,178241,Platform Lock,Lua/AchievementsData.lua(00803),xlast_text_32529,,,178241,,,平台锁定,OK,,
-192,178241,Puerto Coco,Lua/AchievementsData.lua(00808),xlast_text_342,,,178241,,,椰岛,OK,,
-191,178241,Ranked Match,Lua/AchievementsData.lua(00787),xlast_text_32513,,,178241,,,排位赛,OK,,
-190,178241,Supreme ruler of\n{c1},Lua/AchievementsData.lua(00779),xlast_text_158,,,178241,,,\n{c1}的最高统治者,OK,,
-189,178241,Gamer Mu,Lua/AchievementsData.lua(00797),xlast_text_32523,,,178241,,,路人甲,OK,,
-188,178241,Language,Lua/AchievementsData.lua(00795),xlast_text_32521,,,178241,,,语言,OK,,
-187,178241,Gamer Host Name,Lua/AchievementsData.lua(00801),xlast_text_32527,,,178241,,,玩家主机名,OK,,
-186,178241,Bayo del Olfato,Lua/AchievementsData.lua(00819),xlast_text_353,,,178241,,,气息海湾,OK,,
-185,178241,Tropico 5,Lua/AchievementsData.lua(00804),xlast_text_32768,,,178241,,,海岛大亨 5,OK,,
-184,178241,Player Match,Lua/AchievementsData.lua(00788),xlast_text_32514,,,178241,,,个人赛,OK,,
-183,178241,Singleplayer,Lua/AchievementsData.lua(00822),xlast_text_356,,,178241,,,单人游戏,OK,,
-182,178241,Tropico,Lua/AchievementsData.lua(00783),xlast_text_169,,,178241,,,海岛,OK,,
-181,178241,Gamer Name,Lua/AchievementsData.lua(00790),xlast_text_32516,,,178241,,,玩家姓名,OK,,
-180,178241,Gamer Rating,Lua/AchievementsData.lua(00796),xlast_text_32522,,,178241,,,玩家等级,OK,,
-179,178241,Bao-bao,Lua/AchievementsData.lua(00807),xlast_text_341,,,178241,,,宝宝岛,OK,,
-178,178241,Isla Enorme,Lua/AchievementsData.lua(00811),xlast_text_345,,,178241,,,巨岛,OK,,
-177,178241,Uncharted Island,Lua/AchievementsData.lua(00784),xlast_text_170,,,178241,,,未知岛屿,OK,,
-176,178241,Isla de Cortez,Lua/AchievementsData.lua(00813),xlast_text_347,,,178241,,,科尔特斯岛,OK,,
-175,178241,Isla de Tortuga,Lua/AchievementsData.lua(00816),xlast_text_350,,,178241,,,龟岛,OK,,
-174,178241,Santa Teresa,Lua/AchievementsData.lua(00820),xlast_text_354,,,178241,,,圣特雷莎岛,OK,,
-173,178241,Coop,Lua/AchievementsData.lua(00823),xlast_text_357,,,178241,,,合作模式,OK,,
-172,178241,PvP,Lua/AchievementsData.lua(00824),xlast_text_358,,,178241,,,竞争模式,OK,,
-171,178241,Game Type,Lua/AchievementsData.lua(00786),xlast_text_32512,,,178241,,,游戏类型,OK,,
-170,178241,Gamer PUID,Lua/AchievementsData.lua(00799),xlast_text_32525,,,178241,,,路人丙,OK,,
-169,178241,Isla de Haba,Lua/AchievementsData.lua(00810),xlast_text_344,,,178241,,,豆岛,OK,,
-168,178241,Gamer Country,Lua/AchievementsData.lua(00794),xlast_text_32520,,,178241,,,玩家国籍,OK,,
-167,178241,Idle,Lua/AchievementsData.lua(00785),xlast_text_2,,,178241,,,空闲,OK,,
-166,178241,Isla de Lago,Lua/AchievementsData.lua(00805),xlast_text_339,,,178241,,,湖岛,OK,,
-165,178241,Punta de America,Lua/AchievementsData.lua(00814),xlast_text_348,,,178241,,,美洲之角,OK,,
-164,178241,In a Competitive\nMultiplayer game,Lua/AchievementsData.lua(00782),xlast_text_165,,,178241,,,竞争模式\n多人游戏,OK,,
-163,178241,Cayo de Fortuna,Lua/AchievementsData.lua(00806),xlast_text_340,,,178241,,,财富之键,OK,,
-162,178241,In a Cooperative\nMultiplayer game,Lua/AchievementsData.lua(00781),xlast_text_164,,,178241,,,合作模式\n多人游戏,OK,,
-161,178241,Rank,Lua/AchievementsData.lua(00791),xlast_text_32517,,,178241,,,等级,OK,,
-160,178241,Isla Rojo,Lua/AchievementsData.lua(00809),xlast_text_343,,,178241,,,红岛,OK,,
-159,178241,Gamer Name,Lua/AchievementsData.lua(00789),xlast_text_32515,,,178241,,,玩家姓名,OK,,
-158,178241,Affiliate Value,Lua/AchievementsData.lua(00800),xlast_text_32526,,,178241,,,附加价值,OK,,
-157,178241,Puerto de Cascadas,Lua/AchievementsData.lua(00812),xlast_text_346,,,178241,,,飞瀑岛,OK,,
